objectid,pid,title,display_template,object_location,image_small,image_thumb,box,folder,source,creator,description,subject,location,latitude,longitude,personal_name_subject,chronological_subject,event_subject,type,type_of_resource,imt_type,format,filename,date_created,date_modified
cummings_0000,Cummings_0,1964-07_slide-001,image,/objects/1964-07_slide-001.jpg,/objects/small/1964-07_slide-001_sm.jpg,/objects/thumbs/1964-07_slide-001_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0001,Cummings_1,1964-07_slide-002,image,/objects/1964-07_slide-002.jpg,/objects/small/1964-07_slide-002_sm.jpg,/objects/thumbs/1964-07_slide-002_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0002,Cummings_2,1964-07_slide-003,image,/objects/1964-07_slide-003.jpg,/objects/small/1964-07_slide-003_sm.jpg,/objects/thumbs/1964-07_slide-003_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0003,Cummings_3,1964-07_slide-004,image,/objects/1964-07_slide-004.jpg,/objects/small/1964-07_slide-004_sm.jpg,/objects/thumbs/1964-07_slide-004_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0004,Cummings_4,1964-07_slide-005,image,/objects/1964-07_slide-005.jpg,/objects/small/1964-07_slide-005_sm.jpg,/objects/thumbs/1964-07_slide-005_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0005,Cummings_5,1964-07_slide-006,image,/objects/1964-07_slide-006.jpg,/objects/small/1964-07_slide-006_sm.jpg,/objects/thumbs/1964-07_slide-006_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0006,Cummings_6,1964-07_slide-007,image,/objects/1964-07_slide-007.jpg,/objects/small/1964-07_slide-007_sm.jpg,/objects/thumbs/1964-07_slide-007_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0007,Cummings_7,1964-07_slide-008,image,/objects/1964-07_slide-008.jpg,/objects/small/1964-07_slide-008_sm.jpg,/objects/thumbs/1964-07_slide-008_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0008,Cummings_8,1964-07_slide-009,image,/objects/1964-07_slide-009.jpg,/objects/small/1964-07_slide-009_sm.jpg,/objects/thumbs/1964-07_slide-009_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0009,Cummings_9,1964-07_slide-010,image,/objects/1964-07_slide-010.jpg,/objects/small/1964-07_slide-010_sm.jpg,/objects/thumbs/1964-07_slide-010_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0010,Cummings_10,1964-07_slide-011,image,/objects/1964-07_slide-011.jpg,/objects/small/1964-07_slide-011_sm.jpg,/objects/thumbs/1964-07_slide-011_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0011,Cummings_11,1964-07_slide-012,image,/objects/1964-07_slide-012.jpg,/objects/small/1964-07_slide-012_sm.jpg,/objects/thumbs/1964-07_slide-012_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0012,Cummings_12,1964-07_slide-013,image,/objects/1964-07_slide-013.jpg,/objects/small/1964-07_slide-013_sm.jpg,/objects/thumbs/1964-07_slide-013_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0013,Cummings_13,1964-07_slide-014,image,/objects/1964-07_slide-014.jpg,/objects/small/1964-07_slide-014_sm.jpg,/objects/thumbs/1964-07_slide-014_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0014,Cummings_14,1964-07_slide-015,image,/objects/1964-07_slide-015.jpg,/objects/small/1964-07_slide-015_sm.jpg,/objects/thumbs/1964-07_slide-015_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0015,Cummings_15,1964-07_slide-016,image,/objects/1964-07_slide-016.jpg,/objects/small/1964-07_slide-016_sm.jpg,/objects/thumbs/1964-07_slide-016_th.jpg,,,,,,,,,,,,,,,,,,,
cummings_0016,Cummings_16,1964-07_slide-017,image,/objects/1964-07_slide-017.jpg,/objects/small/1964-07_slide-017_sm.jpg,/objects/thumbs/1964-07_slide-017_th.jpg,,,,,,,,,,,,,,,,,,,
